,0,1,2,3,4,5,6,7,8,size,name,name
,,,,,,,,,,sum,join_,count
0,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,snjntth,snjntth,ctj,82485,fcsjl.lfl,1
1,/,pwtpltr,jst,jsqjcqnt,sphbzn,psmtphhq,ffpzc,nbqs,vssmq,88980,dzdfc.vqq,1
2,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,jscbg,gsdnz,dsqzjs,,167465,"jqrlsf.gzs, snjntth",2
3,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,ffpzc,lmn,,143289,"bsltmjz, shrnqhvq",2
4,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,snjntth,snjntth,,82485,fcsjl.lfl,1
5,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,snjntth,vlnfhbq,,250106,qvf,1
6,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,snjntth,wpwl,,153950,cmsd.rlg,1
7,/,pwlbgbz,tbgjpphc,rhzczj,ffjz,grsvhwm,snjntth,dtbgb,,150245,vdflm.lmq,1
8,/,pwtpltr,jst,jsqjcqnt,sphbzn,psmtphhq,ffpzc,gcnrp,,283,vqnrgl.vwp,1
9,/,pwtpltr,jst,jsqjcqnt,sphbzn,psmtphhq,ffpzc,llnztjf,,63263,tjhm.bwh,1
10,/,pwtpltr,jst,jsqjcqnt,sphbzn,psmtphhq,ffpzc,nbqs,,88980,dzdfc.vqq,1
11,/,pwlbgbz,sphbzn,fvzcs,snjntth,pggcwb,pdjg,,,470550,"gvhlrcf, wpls.pbd",2
12,/,pwlbgbz,sphbzn,fvzcs,snjntth,pggcwb,wjhrtg,,,764631,"dljf.zrq, dzdfc.vqq, hjdphcfm, sgwz.cdz",4
13,/,pwlbgbz,sphbzn,fvzcs,sphbzn,bsltmjz,bsqqdr,,,117496,wcqt,1
14,/,pwlbgbz,sphbzn,fvzcs,sphbzn,bsltmjz,ffpzc,,,385570,"mmnvqn.hqb, vrr",2
15,/,pwlbgbz,sphbzn,fvzcs,sphbzn,bsltmjz,frsmrd,,,111509,sphbzn.shz,1
16,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,jscbg,dtm,,,80072,gzqnb,1
17,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,jscbg,gsdnz,,,595343,"sgwz.cdz, vqgsglwq, jqrlsf.gzs, snjntth",4
18,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,ffpzc,,,155393,"tvlwn.vhh, bsltmjz, shrnqhvq",3
19,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,snjntth,,,486541,"fcsjl.lfl, qvf, cmsd.rlg",3
20,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,sphbzn,glgq,,,285182,wjlmgq,1
21,/,pwlbgbz,tbgjpphc,gjzwh,dvcbcd,jnjvshs,bsltmjz,,,152972,qgdqj,1
22,/,pwlbgbz,tbgjpphc,gjzwh,dvcbcd,jnjvshs,nrpm,,,18509,wjlmgq,1
23,/,pwlbgbz,tbgjpphc,gjzwh,hfrrqq,bwgsnfvb,wstmzfml,,,218336,"bnvhbvvc.nrt, jclclgd",2
24,/,pwlbgbz,tbgjpphc,gjzwh,hfrrqq,sphbzn,wqdths,,,8326,cgvtw.jpz,1
25,/,pwlbgbz,tbgjpphc,gjzwh,rqqmldw,qpts,fcsjl,,,25082,mmnvqn.hqb,1
26,/,pwlbgbz,tbgjpphc,gjzwh,rqqmldw,qpts,wnmqqspz,,,165529,sgwz.cdz,1
27,/,pwlbgbz,tbgjpphc,rhzczj,ffjz,grsvhwm,snjntth,,,150245,vdflm.lmq,1
28,/,pwtpltr,dplsvrhl,mnhntjz,snjntth,nlbm,sphbzn,,,214563,prrfhff.pbp,1
29,/,pwtpltr,jst,jsqjcqnt,sphbzn,psmtphhq,ffpzc,,,454723,"cfngvmd, gmd.cwl, rrqz, vqnrgl.vwp, tjhm.bwh, dzdfc.vqq",6
30,/,szn,snjntth,lfb,btj,wvf,ffpzc,,,249919,lsth.fmf,1
31,/,szn,snjntth,lfb,btj,wvf,ncbmgpsc,,,147899,dzdfc.vqq,1
32,/,szn,snjntth,lfb,btj,wvf,wtwrmjnt,,,252366,pvpdv.jwz,1
33,/,szn,snjntth,lfb,zwhvmln,ffpzc,ncnj,,,40920,htbjhjq,1
34,/,szn,snjntth,lfb,zwhvmln,wzcq,snjntth,,,117276,wjlmgq,1
35,/,pwlbgbz,njcscpj,dqzgqgv,snjntth,vrfgfds,,,,155233,jlscz,1
36,/,pwlbgbz,njcscpj,dqzgqgv,sphbzn,qbzwrrw,,,,490122,"fcsjl.tqj, snjntth.gpd",2
37,/,pwlbgbz,njcscpj,dqzgqgv,sphbzn,qwpzn,,,,174183,vqgsglwq,1
38,/,pwlbgbz,sphbzn,fvzcs,cgmv,lmqcbbm,,,,272298,"bdmbvgp, ffpzc.stm, lnpjzvg.qlj",3
39,/,pwlbgbz,sphbzn,fvzcs,cgmv,rstcqsmd,,,,289038,zrbbbwng.smf,1
40,/,pwlbgbz,sphbzn,fvzcs,snjntth,pggcwb,,,,1451846,"fqztwvnv.lvv, vqgsglwq, gvhlrcf, wpls.pbd, dljf.zrq, dzdfc.vqq, hjdphcfm, sgwz.cdz",8
41,/,pwlbgbz,sphbzn,fvzcs,snjntth,snjntth,,,,294871,"ndlshlmj.cjq, snjntth.nsf",2
42,/,pwlbgbz,sphbzn,fvzcs,sphbzn,bsltmjz,,,,1239409,"fcsjl.gfm, nthnhzwf, wjlmgq, wcqt, mmnvqn.hqb, vrr, sphbzn.shz",7
43,/,pwlbgbz,sphbzn,fvzcs,sphbzn,snjntth,,,,617495,"mplj, pvbz.jwn, snjntth.zrv, vnnnw.gql, vqgsglwq",5
44,/,pwlbgbz,sphbzn,pcbt,bsltmjz,ffpzc,,,,179645,snjntth.dss,1
45,/,pwlbgbz,sphbzn,pcbt,bsltmjz,flrpwfs,,,,60566,wvjq.gmm,1
46,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,jqpb,,,,361728,"mmnvqn.hqb, rvq.mrc",2
47,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,jscbg,,,,1078923,"prh, qdzljgh, vmnq.mth, gzqnb, sgwz.cdz, vqgsglwq, jqrlsf.gzs, snjntth",8
48,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,snjntth,,,,760487,"cbhql, tvlwn.vhh, bsltmjz, shrnqhvq, fcsjl.lfl, qvf, cmsd.rlg",7
49,/,pwlbgbz,sphbzn,pcbt,fjsjwfg,sphbzn,,,,285182,wjlmgq,1
50,/,pwlbgbz,tbgjpphc,fdbwbrpp,ffpzc,jhnzrdvb,,,,217775,ffpzc.sgw,1
51,/,pwlbgbz,tbgjpphc,gjzwh,dvcbcd,jlwtvf,,,,219985,sphbzn.dvj,1
52,/,pwlbgbz,tbgjpphc,gjzwh,dvcbcd,jnjvshs,,,,171481,"qgdqj, wjlmgq",2
